time,active_energy_burned,basal_energy_burned,env_audio_exposure,heart_rate,physical_effort
2025-06-05 17:33:01+02:00,0.087,0.066,,57.0,
2025-06-05 17:33:02+02:00,,,,58.0,
2025-06-05 17:33:04+02:00,0.091,0.066,,,
2025-06-05 17:33:06+02:00,0.091,0.066,,,
2025-06-05 17:33:09+02:00,0.087,0.066,,,
2025-06-05 17:33:11+02:00,0.087,0.066,,57.0,
2025-06-05 17:33:12+02:00,,,,57.0,
2025-06-05 17:33:14+02:00,0.087,0.066,,,
2025-06-05 17:33:16+02:00,0.087,0.066,,,1.6
2025-06-05 17:33:17+02:00,,,,57.0,
2025-06-05 17:33:19+02:00,0.041,0.066,,,
2025-06-05 17:33:21+02:00,0.041,0.066,,,
2025-06-05 17:33:24+02:00,0.041,0.066,,57.0,
2025-06-05 17:33:27+02:00,0.041,0.066,,,
2025-06-05 17:33:29+02:00,0.041,0.066,,,
2025-06-05 17:33:30+02:00,,,,57.0,
2025-06-05 17:33:32+02:00,0.041,0.066,,,
2025-06-05 17:33:34+02:00,0.041,0.066,,55.0,
2025-06-05 17:33:37+02:00,0.041,0.066,,,
2025-06-05 17:33:39+02:00,0.041,0.066,,55.0,
2025-06-05 17:33:42+02:00,0.041,0.066,,,
2025-06-05 17:33:45+02:00,0.041,0.066,,,
2025-06-05 17:33:46+02:00,,,,55.0,
2025-06-05 17:33:47+02:00,0.041,0.066,,,
